library_id	library_group
ERR1293535	core
ERR1293536	core
ERR1293537	core
ERR1293538	core
ERR1293539	core
ERR1293540	core
ERR1293541	core
ERR1293542	core
ERR1293543	core
ERR1293544	core
ERR1293545	core
ERR1293546	core
ERR1293547	core
ERR1293548	core
ERR1293549	core
ERR1293550	core
ERR1293551	core
ERR1293552	core
ERR1293553	core
ERR1293554	core
ERR1293555	core
ERR1293556	core
ERR1293557	core
ERR1293558	core
ERR1293559	core
ERR1293560	core
ERR1293561	core
ERR1293562	core
ERR1293563	core
ERR1293564	core
ERR1293565	core
ERR1293566	core
ERR1293567	core
ERR1293568	core
ERR1293569	core
ERR1293570	core
ERR1293571	core
ERR1293572	core
ERR1293573	core
ERR1293574	core
ERR1293575	core
ERR1293576	core
ERR1293577	core
ERR1293578	core
ERR1293579	core
ERR1293580	core
ERR1293581	core
ERR1293582	core
ERR1293583	core
ERR1293584	core
ERR1293585	core
ERR1293586	core
ERR1293587	core
ERR1293588	core
ERR1293589	core
ERR1293590	core
ERR1293591	core
ERR1293592	core
ERR1293593	core
ERR1293594	core
ERR1293595	core
ERR1293596	core
ERR1293597	core
ERR1293598	core
ERR1293599	core
ERR1293600	core
ERR1293601	core
ERR1293602	core
ERR1293603	core
ERR1293604	core
ERR1293605	core
ERR1293606	core
ERR1293607	core
ERR1293608	core
ERR1293609	core
ERR1293610	core
ERR1293611	core
ERR1293612	core
ERR1293613	core
ERR1293614	core
ERR1293615	core
ERR1293616	core
ERR1293617	core
ERR1293618	core
ERR1293619	core
ERR1293620	core
ERR1293621	core
ERR1293622	core
ERR1293623	core
ERR1293624	core
ERR1293625	core
ERR1293626	core
ERR1293627	core
ERR1293628	core
